Tattoo Name,Price (USD)
Dragon Flame,120
Skull Rose,90
Phoenix Rise,150
Tribal Band,80
Wolf Howl,110
Angel Wings,130
Infinity Loop,60
Tiger Eyes,100
Mandala Bloom,140
Anchor Faith,75
Heart Lock,65
Celtic Knot,95
Compass Guide,105
Snake Wrap,115
Clock Gears,125
Moon Phases,85
Lion King,135
Cherry Blossom,95
Arrow Path,70
Dream Catcher,100
Samurai Spirit,160
Galaxy Swirl,130
Butterfly Bloom,90
Sword Strike,110
Cross Bones,85
Rose Dagger,100
Feather Fly,75
Mountain Peak,95
Ocean Wave,90
Eye of Ra,120
Zombie Skull,110
Crown Queen,80
Skater Skull,95
Sun Dial,100
Dice Roll,70
Shark Attack,105
Geometric Maze,90
Panther Claw,115
Bat Wings,85
Fire Skull,130
Lightning Bolt,80
Skeleton Hand,100
Praying Hands,110
Spider Web,75
Alien Head,95
Tiger Roar,120
Lighthouse Hope,105
Chakra Flow,130
Eagle Flight,125
Compass Rose,100
Tree of Life,135
Music Notes,60
Broken Heart,70
Star Cluster,85
Sword Rose,90
Hawk Eye,110
Dragon Eye,115
Viking Shield,140
Skull Crown,125
Moon Wolf,100
Snake Dagger,110
Serpent Eye,105
Map Trail,95
Sand Timer,100
Rose Vine,85
Crystal Shard,80
Demon Face,120
Skull Lantern,90
Angel Halo,95
Mask Split,105
Rose Skull,100
Fierce Lion,135
Bullet Rose,110
Ink Cross,70
Tornado Spin,90
Owl Watcher,95
Scorpion Sting,100
Bear Roar,120
Samurai Mask,140
Snake Coil,105
Electric Rose,95
Moon Cat,80
Sun Serpent,110
Mythic Bird,130
Angel Devil,115
Armor Shield,100
Tiger Face,120
Phoenix Feather,125
Gladiator Helm,135
Wolf Pack,100
Octopus Tentacles,110
Sword Shield,120
Flame Skull,95
Fallen Angel,130
Vortex Circle,90
Crescent Moon,80
Rose Cross,100
Skull Mask,110
Hawk Flight,120
